Coins,Symbols,Mentions this week,Mentions last week,Mentions two weeks ago,Mentions three weeks ago,Mentions four weeks ago,Sentiment this week,Sentiment last week,Sentiment two weeks ago,Sentiment three weeks ago,Sentiment four weeks ago,Price this week,Price last week,Price two weeks ago,Price three weeks ago,Price four weeks ago,Percent change this week
Celsius,CEL,203,268,234,148,184,0.346375,0.27818913043478266,0.4962045454545454,0.5395227272727273,0.21551000000000003,6.660156,6.571781,7.452916,4.915744,4.81421,3.87
Bankera,BNK,7,12,12,9,2,0.0,0.0,0.0,0.0,0.0,0.002906,0.007683,0.001977,0.002148,0.001506,-48.45
Wrapped Bitcoin,WBTC,17,5,17,10,11,0.007483333333333342,0.5300285714285714,0.5461,0.39514285714285713,0.368925,50337.039643,61513.03147,58263.074108,59109.289675,55243.624868,-15.46
Bitcoin File,BIFI,8,19,11,11,13,0.2974375,0.2756736842105263,0.23477272727272724,0.08085454545454546,0.2770461538461539,0.0,0.0,0.0,0.0,0.0,-5.76
Engine,EGCC,24,17,12,11,7,0.4133229166666667,0.4873882352941177,0.3617875,0.4927909090909091,0.49738571428571426,0.000156,0.000267,0.000243,0.000173,0.000196,-35.9
Plus Coin,NPLC,22,11,9,11,6,0.5195136363636363,0.30612272727272727,0.6109777777777778,0.5286454545454545,0.23000833333333334,0.000186,0.000238,0.000307,0.000261,0.000274,-17.96
PayDay Coin,PDX,45,30,28,24,17,0.3787422222222222,0.40062666666666674,0.46057321428571424,0.4071395833333334,0.5532441176470587,0.0,0.0,0.0,0.0,,0.0
Mooncoin,MOON,20,11,18,5,4,0.203975,-0.27155,0.0,0.1423,0.0,0.000152,0.000529,4.1e-05,,,-30.12
TerraNova,TER,3,1,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.42
PlusOneCoin,PLUS1,11,5,8,7,2,0.5539272727272727,0.24642000000000003,0.5948,0.666242857142857,0.16375,0.009065,0.009832,0.008739,,0.010474,-5.37
Curve DAO Token,CRV,5,4,3,6,7,0.49915,0.78575,0.2528333333333334,0.85635,0.532675,2.494098,3.927022,2.989709,3.350721,2.621394,-35.09
MicroBitcoin,MBC,5,1,1,2,1,0.31164000000000003,0.78455,0.35092500000000004,0.34763750000000004,-0.48865,1.5e-05,1.2e-05,,,,0.02
Crypto Improvement Fund,CIF,8,8,7,5,4,0.5055375,0.5378437500000001,0.5455142857142856,0.46955,0.499475,0.0,0.0,0.0,0.0,0.0,
Buddy,BUD,18,5,8,4,3,0.25850833333333334,0.41153000000000006,0.47011875,0.40478749999999997,0.033533333333333325,1.5e-05,5.7e-05,,1.9e-05,1.9e-05,-74.15
Atomic Wallet Coin,AWC,8,4,6,4,3,0.37722500000000003,0.5092375,0.460675,0.2244875,0.4681333333333333,1.875849,2.276481,2.133419,1.831054,1.642292,-11.02
Carry,CRE,31,19,12,11,8,0.33165645161290336,0.17917368421052632,0.40540416666666673,0.28161818181818177,0.55133125,0.001009,0.001473,0.001055,0.001279,0.001237,-23.23
GOLD Reward Token,GRX,3,1,2,2,2,0.5845333333333333,0.1814,0.64595,0.498075,0.6506500000000001,0.0,0.0,0.0,0.0,0.0,0.0
WINk,WIN,231,145,259,41,31,0.68735,0.640925,0.2883875,0.0,0.0,0.000844,0.001509,0.001665,0.000636,0.000385,-33.23
PROUD Money,PROUD,9,1,1,5,2,0.3822111111111111,0.6189875,0.78015,0.27683,0.498725,0.00055,0.000622,0.000454,0.00042,0.000506,-11.38
DynamicCoin,DMC,8,2,3,4,3,0.4135375,0.77155,0.5452333333333333,0.52345,0.4970833333333333,,,0.0,,,75.0
Ethereum Lite,ELITE,2,1,1,2,1,0.030200000000000005,0.60335,0.6478,0.090075,0.2752,0.033611,0.026257,0.014451,0.015335,,33.47
Bitcoin God,GOD,16,9,1,2,3,0.4956062499999999,0.4721888888888889,0.37285,0.55535,0.5942333333333333,9.900465,12.001337,11.529034,11.794393,10.995212,-16.03
ValueChain,VLC,44,18,22,14,13,0.4102375,0.46096666666666675,0.5141545454545454,0.34108571428571427,0.4848923076923076,,,,0.002134,,7.95
Digital Asset Exchange Token,DAXT,7,2,5,8,4,0.5544785714285715,0.49965000000000004,0.55686,0.42284999999999995,0.49974999999999997,0.0,0.0,0.0,0.0,0.0,
Dragon Token,DT,1,7,4,3,4,0.4178,0.0,0.4001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
Algorand,ALGO,649,433,400,353,320,0.32954183673469395,0.28384,0.212955,0.329125,0.3776375,1.139894,1.509048,1.39861,1.358944,1.118795,-24.34
OKEx Utility Token,OKB,26,20,15,17,23,0.0,0.0,0.0,0.0,0.0,16.040911,18.88702,19.474534,17.421731,12.83971,-14.58
Swipe,SXP,1,1,2,1,2,-0.22988124999999998,0.47465,0.562275,0.3192833333333333,0.0,3.083082,5.03223,4.971446,3.85145,3.07344,-41.01
Chiliz,CHZ,121,132,128,110,227,0.243875,0.5345500000000001,0.3753,0.4977,0.0,0.412657,0.76591,0.505323,0.508488,0.51819,-48.27
Zenon,ZNN,17,14,12,5,13,0.0,0.0,0.0,0.0,0.1909,18.776698,21.383527,20.603132,22.164874,23.857146,-11.75
